N,Nombre del Negocio,Categoria,Direccion,Instagram,WhatsApp_Telefono,Link_contacto,Calificacion,Motivo_calificacion,Mensaje_Instagram,Mensaje_WhatsApp,Estado_lead,Fecha_contacto,Notas
80,Espacios Verdes La Esperanza,Vivero,"Av. H. Yrigoyen 608, Matheu, Escobar",-,+543484460064,-,Alta,Vivero establecido en Matheu. Amplia variedad de plantas y servicios de jardín,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Espacios Verdes La Esperanza con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Espacios Verdes La Esperanza con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
81,Dietética Loma Verde,Dietética,Belén de Escobar,-,+543484406505,-,Media,Dietética con foco en productos keto y saludables en Loma Verde,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Dietética Loma Verde y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Dietética Loma Verde y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
82,New Garden Maschwitz,Dietética/Alimentos naturales,"Patricios 1790, Ing. Maschwitz",-,+5491131975628,https://productosdieteticos.com.ar/dietetica/new-garden-25/,Media,Dietética en Maschwitz con alimentos naturales y saludables. Público consciente,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en New Garden Maschwitz con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en New Garden Maschwitz con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
83,La Florería de Ruth,Florería,"Av. El Dorado 1593, Ing. Maschwitz",@lafloreriaderuth,-,https://instagram.com/lafloreriaderuth,Media,Florería en Maschwitz frente a estación de tren. IG activo,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de La Florería de Ruth y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de La Florería de Ruth y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
84,Todo Granel Maschwitz,Tienda a granel/Orgánica,Ing. Maschwitz,-,-,https://green-life.com.ar/tienda-naturista/todo-granel/,Media,Tienda a granel con productos naturales y orgánicos. Venta por peso. Público muy consciente,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Todo Granel Maschwitz y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta saludable que tienen en Todo Granel Maschwitz y creemos que el cultivo en casa es un complemento natural para la gente que los elige, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
85,Vivero San Fernando,Vivero,San Fernando Buenos Aires,@vivero_sanfernando,+5491167814433,https://instagram.com/vivero_sanfernando,Alta,Vivero en San Fernando con IG activo. 536 seguidores. Primera exploración en zona San Fernando,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero San Fernando con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero San Fernando con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",No interesado,2026-04-20,2026-04-20: Están por cerrar el vivero. Descartado.
86,Vivero Orquídea San Fernando,Vivero especializado,San Fernando Buenos Aires,@orquideasanfernando,-,https://instagram.com/orquideasanfernando,Media,Vivero especializado en orquídeas en San Fernando. Público que ama las plantas,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Orquídea San Fernando con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Orquídea San Fernando con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
87,Floristería Edri,Florería,San Fernando Buenos Aires,-,-,https://www.floristeriaedri.com/,Media,Florería con web propia en San Fernando. Flores naturales y arreglos florales,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Floristería Edri y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Floristería Edri y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
88,Mystical GrowShop San Fernando,Growshop,San Fernando Buenos Aires,-,-,https://www.facebook.com/mysticalgrowshop/,Alta,Growshop en San Fernando. Fertilizantes insumos de cultivo y artículos indoor,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Mystical GrowShop San Fernando con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Mystical GrowShop San Fernando con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
89,Clon Factory San Fernando,Growshop,"Pocitos 2830, San Fernando",-,+5491123517352,https://clonfactory.com.ar/,Media,Growshop especializado en genéticas INASE. Múltiples locales. San Fernando es uno de ellos,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Clon Factory San Fernando con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Clon Factory San Fernando con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
90,Germinando Nativas,Vivero plantas nativas,"Buenos Aires, Zona Norte",@germinandonativas,+5491162437142,https://www.germinandonativas.com/,Alta,17K seguidores en IG. Vivero de plantas nativas con enfoque sustentable. Envío nacional. Público eco-consciente ideal,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Germinando Nativas con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Germinando Nativas con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
91,Buenos Aires Grow Shop,Growshop,"Zona Norte, Buenos Aires",@buenosairesgrowshop,+541146017785,https://instagram.com/buenosairesgrowshop,Alta,Growshop con IG activo en zona norte BA. Insumos de cultivo y productos relacionados,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Buenos Aires Grow Shop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Buenos Aires Grow Shop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
92,La Floresta Growshop,Growshop,"Zona Norte, Buenos Aires",@laflorestagrowshop,+5491161227241,https://instagram.com/laflorestagrowshop,Alta,Growshop con IG activo en zona norte de Buenos Aires,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en La Floresta Growshop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en La Floresta Growshop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-20,
93,SAJO Hogar San Fernando,Decoración hogar,"Beruti 58, San Fernando",-,+5491164734324,https://www.facebook.com/Sajohogarok/,Media,Empresa familiar 40 años. Diseño de interiores con enfoque eco-friendly en San Fernando,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en SAJO Hogar San Fernando y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en SAJO Hogar San Fernando y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Número inválido,,WhatsApp no funciona (intento 2026-04-20)
94,Sabe la Tierra Feria,Feria orgánica,"Madero y Rosario (alt. Libertador 1000), San Fernando",-,-,-,Media,Mercado de pequeños productores en San Fernando. Sábados 10-18hs. Orgánicos y productos naturales. Alto tráfico de público consciente,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Sabe la Tierra Feria y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi la propuesta de Sabe la Tierra Feria y nos parece que hay mucha sintonía con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
95,La Carmelita Deco,Decoración artesanal,San Fernando Buenos Aires,-,-,-,Baja,Deco artesanal con cestería de papel y origami en San Fernando. Público creativo/artesanal,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en La Carmelita Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en La Carmelita Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Sin contactar,,
96,Vivero Agustín,Vivero,Zona Norte (contactado directamente por Mariano),-,-,-,Alta,CLIENTE - Primera venta cerrada,-,-,Interesado,2026-04-20,2026-04-20: 🎉 PRIMERA VENTA CERRADA. Pedido: 3 huertas de 12 plantas + 3 mini huertas. Precio acordado: -30% del precio publicado en la web. Contacto obtenido directamente por Mariano (no del sistema de prospección). | 2026-04-23: Corrección: NO cerrado aún. Pedido planeado: 2 huertas de 12 plantas + 1 mini huerta. Mariano está por cerrarlo.
97,Todo Cultivo San Fernando,Growshop,"San Fernando, Buenos Aires",@todocultivosanfer,-,https://instagram.com/todocultivosanfer,Alta,Growshop especializado en cultivo. 1009 followers. Activo en Instagram. San Fernando BA.,Hola! Vi que en Todo Cultivo San Fernando tienen todo lo necesario para el cultivo indoor y outdoor. Qué completo! Nosotros hacemos kits de huerta urbana hidropónica y creo que podrían sumar muy bien a la propuesta que ya tienen. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que en Todo Cultivo San Fernando tienen todo para el cultivo. Nosotros hacemos kits de huerta urbana hidropónica que creo van muy bien con lo que ya ofrecen. ¿Les cuento?,Pendiente,2026-04-21,
98,Clivia Almacén Deco,Decoración/Hogar/Jardín,"Av. Pte. Perón 1830, San Fernando",@clivia.almacen.deco,+5491147453875,https://instagram.com/clivia.almacen.deco,Alta,Deco con macetas y accesorios de jardín. Venden productos de terceros. Perfecta para sumar kits de huerta.,Hola! Vi que en Clivia tienen una propuesta muy cuidada con macetas y accesorios de jardín y hogar. Nosotros fabricamos kits de huerta urbana hidropónica y creo que encajan perfectamente con ese estilo. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que en Clivia tienen una selección muy linda de macetas y accesorios de jardín. Nosotros hacemos kits de huerta urbana hidropónica que creo van muy bien con lo que ya ofrecen. ¿Les cuento?,Pendiente,2026-04-21,
99,Vivero Club,Vivero,"Av. Perón 3355, Victoria, San Fernando",@viveroclub,-,https://instagram.com/viveroclub,Alta,Vivero mayorista y minorista con entregas a toda la zona norte. 2211 followers. Muy activo.,Hola! Vi que Vivero Club trabaja tanto al por mayor como al por menor con entregas en toda la zona norte. Qué bien organizado lo tienen! Nosotros hacemos kits de huerta urbana hidropónica y creo que pueden ser un complemento muy interesante para el catálogo que manejan. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que Vivero Club trabaja con mayoristas y minoristas en toda la zona norte. Nosotros hacemos kits de huerta urbana hidropónica que pueden ser un buen complemento. ¿Les cuento?,Pendiente,2026-04-21,
100,Lo de Tito Mercado Natural,Dietética/Mercado orgánico,"Ituzaingó 1180, San Fernando",@lodetito,-,https://instagram.com/lodetito,Alta,18K followers. Mercado natural y orgánico muy activo. Envíos a San Fernando y zona norte. Clientes muy afines.,Hola! Vi que en Lo de Tito tienen una comunidad enorme alrededor de los alimentos orgánicos y naturales. Qué laburo! Nosotros hacemos kits de huerta urbana hidropónica y creo que el público que ya tiene Lo de Tito va a amar poder cultivar sus propios alimentos en casa. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que en Lo de Tito tienen una comunidad enorme de clientes que eligen lo natural y orgánico. Nosotros hacemos kits de huerta urbana hidropónica que creo puede ser muy bien recibido por ese público. ¿Les cuento?,Pendiente,2026-04-21,
101,DeSillas San Fernando,Decoración/Diseño,"Camino Bancalari 2955, Victoria, San Fernando",@desillascom,-,https://instagram.com/desillascom,Alta,230K followers. Tienda de sillas y muebles de diseño de firmas internacionales. Venden productos de terceros. Público ABC1.,"Hola! Vi la propuesta de DeSillas y me encantó la curaduría de diseño que tienen. Nosotros hacemos kits de huerta urbana con una estética muy cuidada, casi como objetos de diseño para el hogar. Creo que podrían ir muy bien en el mix que ya manejan. Les cuento?",Hola! Les escribo de Acrule Hidroponía. Vi que en DeSillas tienen una curaduría de diseño muy interesante con productos de firmas reconocidas. Nosotros hacemos kits de huerta urbana hidropónica con estética muy cuidada que creo puede sumar al catálogo. ¿Les cuento?,Pendiente,2026-04-21,
102,Fresh & Green,Dietética/Herboristería,"9 de Julio 1399, San Fernando",-,+541133263707,-,Media,Dietética especializada en keto y vegano en San Fernando. Público muy consciente de la salud.,Hola! Vi que Fresh & Green tiene una selección muy buena de productos keto y veganos. Nosotros hacemos kits de huerta urbana hidropónica y creo que el perfil de sus clientes ya está pensando en cultivar sus propios alimentos. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi Fresh & Green en San Fernando y la propuesta de alimentos naturales me pareció muy interesante. Nosotros hacemos kits de huerta urbana hidropónica que creo pueden ir muy bien con ese público. ¿Les cuento?,Pendiente,2026-04-21,
103,SATORI Flowers & Coffee,Florería/Café,"Ciudad Victoria, San Fernando",@satorifloresycafe,-,https://instagram.com/satorifloresycafe,Media,Florería con café en Victoria. 1813 followers. Propuesta premium para público ABC1.,Hola! Vi que en SATORI combinan flores y café de una manera muy especial y auténtica. Qué propuesta más linda! Nosotros hacemos kits de huerta urbana y creo que podrían ser un objeto muy interesante para agregar a lo que ya ofrecen. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que SATORI combina flores y café de manera muy especial. Nosotros hacemos kits de huerta urbana hidropónica y creo que le puede interesar mucho a los clientes que ya eligen SATORI. ¿Les cuento?,Pendiente,2026-04-21,
104,El Garage Deco,Decoración/Muebles,"Av. Libertador 3057, Victoria, San Fernando",@garagedeco,-,https://garagedeco.com.ar,Media,Tienda de deco con muebles y accesorios. Ubicación premium sobre Libertador en Victoria.,Hola! Vi la propuesta de El Garage Deco y me gustó mucho el mix entre muebles y objetos de diseño para el hogar. Nosotros hacemos kits de huerta urbana con una estética muy cuidada. Creo que podrían sumar perfectamente al ambiente que transmite el local. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que El Garage Deco tiene una propuesta de deco muy cuidada en Victoria. Nosotros hacemos kits de huerta urbana hidropónica con estética de diseño que creo puede sumar al catálogo. ¿Les cuento?,Pendiente,2026-04-21,
105,Bless Home,Decoración/Muebles,"Uruguay 6600 (Centro Comercial Buena Vista), Victoria, San Fernando",-,-,-,Media,"Tienda de deco y muebles en shopping premium Buena Vista. Sofás, lámparas y objetos deco.",Hola! Vi que Bless Home tiene una propuesta de decoración muy completa en el Centro Comercial Buena Vista. Nosotros hacemos kits de huerta urbana hidropónica y creo que son un artículo muy interesante para agregar al mix. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que Bless Home tiene una propuesta de deco y muebles muy completa en Buena Vista. Nosotros hacemos kits de huerta urbana que pueden ser un artículo muy interesante para la propuesta que manejan. ¿Les cuento?,Pendiente,2026-04-21,
106,Florería Flores Héctor,Florería,"Tanoni 2710, Victoria, San Fernando",-,+5491147444263,-,Media,Florería con retiro en tienda y entrega a domicilio en zona Victoria-San Fernando.,Hola! Vi la florería Flores Héctor en Victoria. Qué linda propuesta tienen! Nosotros hacemos kits de huerta urbana hidropónica y creo que pueden ser un artículo muy complementario y original para ofrecer junto con lo que ya tienen. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi Flores Héctor en Victoria y me pareció una propuesta muy linda. Nosotros hacemos kits de huerta urbana hidropónica que creo pueden ser un producto muy complementario para la florería. ¿Les cuento?,Pendiente,2026-04-21,
107,Ferretería del Río,Ferretería,"Constitución 187, San Fernando",@ferreteriadelrio,+5491145491462,https://instagram.com/ferreteriadelrio,Media,Ferretería con excelentes reseñas y variedad de productos en San Fernando.,Hola! Vi que Ferretería del Río tiene muy buena reputación en San Fernando. Nosotros hacemos kits de huerta urbana hidropónica y suelen ser un producto que complementa muy bien la sección de jardín de las ferreterías. Les cuento cómo funciona?,Hola! Les escribo de Acrule Hidroponía. Vi las reseñas de Ferretería del Río en San Fernando. Nosotros hacemos kits de huerta urbana hidropónica que suelen ir muy bien en la sección jardín/hogar de las ferreterías. ¿Les cuento?,Pendiente,2026-04-21,
108,Ferretería Utilísimo,Ferretería,"Santamarina 1265, San Fernando",-,-,-,Media,Ferretería referente en San Fernando con variedad y buen servicio al cliente.,Hola! Vi que Ferretería Utilísimo es referente en San Fernando con muy buena atención. Nosotros hacemos kits de huerta urbana hidropónica que pueden ser un producto muy interesante para agregar a la sección de jardín y hogar. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que Ferretería Utilísimo es referente en San Fernando. Nosotros hacemos kits de huerta urbana hidropónica que van muy bien complementando la sección jardín/hogar de las ferreterías. ¿Les cuento?,Pendiente,2026-04-21,
109,Corralón y Ferretería El Cordobés,Ferretería/Corralón,"Pocitos 4469, San Fernando",-,-,-,Media,Corralón y ferretería en San Fernando con amplia variedad de productos.,Hola! Vi que El Cordobés tiene una propuesta completa de ferretería y corralón en San Fernando. Nosotros hacemos kits de huerta urbana hidropónica que pueden ser un buen complemento para la sección jardín y hogar. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que El Cordobés tiene una buena propuesta de ferretería y materiales en San Fernando. Nosotros hacemos kits de huerta urbana hidropónica que suelen ir muy bien en esos puntos de venta. ¿Les cuento?,Pendiente,2026-04-21,
110,Caprista Dietética,Dietética,"Ayacucho 1226, San Fernando",@dieteticaprista,+5491140786275,https://instagram.com/dieteticaprista,Media,802 followers. Dietética vegana y orgánica. Público concienciado con la salud y el bienestar natural.,Hola! Vi que en Caprista tienen una propuesta muy completa de alimentos veganos y orgánicos. Nosotros hacemos kits de huerta urbana hidropónica y creo que el público que ya elige Caprista también va a querer cultivar sus propios alimentos en casa. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que Caprista tiene una propuesta muy enfocada en alimentos naturales y veganos. Nosotros hacemos kits de huerta urbana hidropónica que creo pueden ser un producto muy atractivo para sus clientes. ¿Les cuento?,Pendiente,2026-04-21,
111,Dietéticas Tomy San Fernando,Dietética,"Constitución 1257, San Fernando",-,-,-,Media,Sucursal de cadena de dietéticas con buen volumen de clientes. Propuesta saludable consolidada.,Hola! Vi la sucursal de Dietéticas Tomy en San Fernando. Qué buena variedad de productos tienen! Nosotros hacemos kits de huerta urbana hidropónica y creo que el perfil de clientes de Tomy va a amar poder cultivar sus propios alimentos. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi Dietéticas Tomy en Constitución y me pareció que el perfil de sus clientes encaja perfecto con nuestra propuesta de kits de huerta urbana hidropónica. ¿Les cuento cómo funciona para tiendas?,Pendiente,2026-04-21,
112,Area Design Home Deco,Decoración/Diseño,"Av. Hipólito Yrigoyen 2931, San Fernando",@areadesignhomedeco,-,https://instagram.com/areadesignhomedeco,Media,Tienda de deco y diseño de hogar en San Fernando. Proyectos y venta de objetos de diseño.,Hola! Vi la propuesta de Area Design y me gustó mucho la curaduría de objetos para el hogar que tienen. Nosotros hacemos kits de huerta urbana con una estética muy cuidada. Creo que pueden ir muy bien con el estilo que manejan. Les cuento?,Hola! Les escribo de Acrule Hidroponía. Vi que Area Design tiene una propuesta de diseño de hogar muy interesante en San Fernando. Nosotros hacemos kits de huerta urbana hidropónica con estética de diseño que creo puede sumar al catálogo. ¿Les cuento?,Pendiente,2026-04-21,
